0.85  867.378
870.546  -10.082
869.698  11.998
862.604  -7.88
867.532  12.992
869.544  2.564
871.108  6.096
867.37  1.41
870.296  -12.172
860.64  16.2
868.39  -10.862
865.294  3.922
866.818  -1.546
871.7  -3.376
867.956  -2.812
872.328  -0.116
868.318  -6.902
869.402  16.926
871.674  5.982
871.444  3.916
862.756  -10.14
870.442  -13.618
870.324  10.316
870.396  -6.792
868.72  3.508
869.622  -4.158
867.39  -0.978
867.17  -0.722
870.478  -0.394
866.376  1.94
871.262  10.166
867.868  1.724
873.508  3.188
869.9  22.484
867.86  -14.248
870.246  -9.994
871.14  -20.616
871.166  23.782
866.062  -18.37
866.262  -13.118
868.536  -3.928
870.838  -1.27
871.362  -7.662
874.916  -9.14
870.328  -14.064
870.312  -3.888
866.376  -8.764
868.372  -6.344
870.834  4.406
869.208  -4.428
867.996  1.26
871.008  -12.2
867.986  9.382
869.652  -14.004
868.724  -35.024
869.584  9.292
865.582  23.422
873.61  15.962
869.89  -8.91
864.824  4.596
870.634  -12.982
868.786  -22.074
873.342  -1.946
868.442  -14.686
867.282  -20.05
875.422  -6.166
871.662  -6.454
865.198  -11.438
865.806  -24.39
866.676  -14.684
871.036  21.532
865.65  -5.438
867.12  3.224
871.866  -10.522
863.684  6.956
870.478  -14.762
865.404  12.432
867.914  6.602
866.16  -5.988
869.564  -2.516
870.43  -23.482
867.664  -9.528
869.89  2.91
868.714  1.998
871.078  -9.818
871.212  -12.876
867.1  -4.968
871.424  0.132
865.828  -14.608
869.938  -11.246
870.754  6.202
873.162  19.066
869.486  3.778
873.08  -10.748
873.6  11.304
865.606  17.99
867.236  -10.5
872.674  -13.886
871.11  -6.414
871.06  -10.584
