     37.2022   0.380592   22   18   24
     37.3363   0.380923   23   17   24
     36.1386   0.381306   21   17   24
     35.0143   0.382049   19   17   24
     33.9706   0.383121   17   17   24
     33.0151   0.384446   15   17   24
     32.1559   0.385935   13   17   24
     31.4006   0.387516   11   17   24
     30.7571   0.389056   9   17   24
     30.2324   0.390452   7   17   24
     29.8329   0.391605   5   17   24
     29.5635   0.392427   3   17   24
     29.4279   0.392853   1   17   24
     29.4279   0.392853   1   17   24
     29.5635   0.392427   3   17   24
     29.8329   0.391605   5   17   24
     30.2324   0.390452   7   17   24
     30.7571   0.389056   9   17   24
     31.4006   0.387516   11   17   24
     32.1559   0.385935   13   17   24
     33.0151   0.384446   15   17   24
     33.9706   0.383121   17   17   24
     35.0143   0.382049   19   17   24
     36.1386   0.381306   21   17   24
     37.3363   0.380923   23   17   24
     37.5233   0.381397   24   16   24
     36.2767   0.381603   22   16   24
     35.0999   0.382194   20   16   24
     34   0.383154   18   16   24
     32.9848   0.384428   16   16   24
     32.0624   0.385913   14   16   24
     31.241   0.387536   12   16   24
     30.5287   0.389187   10   16   24
     29.9333   0.390748   8   16   24
     29.4618   0.392099   6   16   24
     29.1204   0.393151   4   16   24
     28.9137   0.393815   2   16   24
     28.8444   0.394042   0   16   24
     28.9137   0.393815   2   16   24
     29.1204   0.393151   4   16   24
     29.4618   0.392099   6   16   24
     29.9333   0.390748   8   16   24
     30.5287   0.389187   10   16   24
     31.241   0.387536   12   16   24
     32.0624   0.385913   14   16   24
     32.9848   0.384428   16   16   24
     34   0.383154   18   16   24
     35.0999   0.382194   20   16   24
     36.2767   0.381603   22   16   24
     36.4692   0.382029   23   15   24
     35.242   0.382445   21   15   24
     34.0881   0.383259   19   15   24
     33.0151   0.384446   17   15   24
     32.0312   0.385905   15   15   24
     31.1448   0.387558   13   15   24
     30.3645   0.389295   11   15   24
     29.6985   0.391002   9   15   24
     29.1548   0.392554   7   15   24
     28.7402   0.393831   5   15   24
     28.4605   0.394751   3   15   24
     28.3196   0.395226   1   15   24
     28.3196   0.395226   1   15   24
     28.4605   0.394751   3   15   24
     28.7402   0.393831   5   15   24
     29.1548   0.392554   7   15   24
     29.6985   0.391002   9   15   24
     30.3645   0.389295   11   15   24
     31.1448   0.387558   13   15   24
     32.0312   0.385905   15   15   24
     33.0151   0.384446   17   15   24
     34.0881   0.383259   19   15   24
     35.242   0.382445   21   15   24
     36.4692   0.382029   23   15   24
     36.7151   0.382595   24   14   24
     35.4401   0.382809   22   14   24
     34.2345   0.383452   20   14   24
     33.1059   0.384507   18   14   24
     32.0624   0.385913   16   14   24
     31.1127   0.387568   14   14   24
     30.2655   0.389369   12   14   24
     29.5296   0.391199   10   14   24
     28.9137   0.392939   8   14   24
     28.4253   0.394444   6   14   24
     28.0713   0.395622   4   14   24
     27.8568   0.396365   2   14   24
     27.7849   0.396619   0   14   24
     27.8568   0.396365   2   14   24
     28.0713   0.395622   4   14   24
     28.4253   0.394444   6   14   24
     28.9137   0.392939   8   14   24
     29.5296   0.391199   10   14   24
     30.2655   0.389369   12   14   24
     31.1127   0.387568   14   14   24
     32.0624   0.385913   16   14   24
     33.1059   0.384507   18   14   24
     34.2345   0.383452   20   14   24
     35.4401   0.382809   22   14   24
     35.6931   0.38329   23   13   24
     34.4384   0.38374   21   13   24
     33.2566   0.384631   19   13   24
     32.1559   0.385935   17   13   24
     31.1448   0.387558   15   13   24
     30.2324   0.389395   13   13   24
     29.4279   0.391325   11   13   24
     28.7402   0.393227   9   13   24
     28.178   0.394957   7   13   24
     27.7489   0.396392   5   13   24
     27.4591   0.397416   3   13   24
     27.313   0.397955   1   13   24
     27.313   0.397955   1   13   24
     27.4591   0.397416   3   13   24
     27.7489   0.396392   5   13   24
     28.178   0.394957   7   13   24
     28.7402   0.393227   9   13   24
     29.4279   0.391325   11   13   24
     30.2324   0.389395   13   13   24
     31.1448   0.387558   15   13   24
